algorithm,seed,episode,reward
iql,999,186,312.8814
iql,999,187,155.889
iql,999,188,120.611
iql,999,189,175.9968
iql,999,190,146.3712
iql,999,191,132.5609
iql,999,192,293.5235
iql,999,193,153.1881
iql,999,194,171.6029
iql,999,195,171.0025
iql,999,196,167.5261
iql,999,197,346.2983
iql,999,198,447.3063
iql,999,199,428.5689
iql,999,200,468.2416
qmix,42,1,-48.7349
qmix,42,2,-418.0638
qmix,42,3,-111.3981
qmix,42,4,-85.1715
qmix,42,5,-70.4962
qmix,42,6,-39.4041
qmix,42,7,-75.3628
qmix,42,8,-68.7251
qmix,42,9,-240.7128
qmix,42,10,-114.5415
qmix,42,11,-58.8222
qmix,42,12,-77.9008
qmix,42,13,-85.3798
qmix,42,14,-515.4952
qmix,42,15,-520.5942
qmix,42,16,-760.3298
qmix,42,17,-431.7
qmix,42,18,-51.424
qmix,42,19,-408.5874
qmix,42,20,-155.8294
qmix,42,21,-107.172
qmix,42,22,-66.5098
qmix,42,23,-198.1356
qmix,42,24,-92.6472
qmix,42,25,-77.8614
qmix,42,26,-57.8214
qmix,42,27,-86.0786
qmix,42,28,-115.2465
qmix,42,29,-171.3732
qmix,42,30,-364.7102
qmix,42,31,-117.8177
qmix,42,32,-624.9364
qmix,42,33,-401.0088
qmix,42,34,-141.7423
qmix,42,35,-115.9032
qmix,42,36,-322.7862
qmix,42,37,-149.9691
qmix,42,38,-170.1306
qmix,42,39,-110.2567
qmix,42,40,-125.8744
qmix,42,41,-92.2793
qmix,42,42,-101.6519
qmix,42,43,-107.0044
qmix,42,44,-510.4932
qmix,42,45,-109.5444
qmix,42,46,-171.7743
qmix,42,47,-84.4873
qmix,42,48,-156.8999
qmix,42,49,-300.0598
qmix,42,50,-143.3971
qmix,42,51,-533.0583
qmix,42,52,-829.3915
qmix,42,53,-106.6705
qmix,42,54,-235.9506
qmix,42,55,-187.0768
qmix,42,56,-163.7004
qmix,42,57,-662.8921
qmix,42,58,-186.8571
qmix,42,59,-133.6699
qmix,42,60,-686.8009
qmix,42,61,-138.1517
qmix,42,62,-186.8939
qmix,42,63,-157.9443
qmix,42,64,-417.4559
qmix,42,65,-116.5032
qmix,42,66,-140.7621
qmix,42,67,-161.811
qmix,42,68,-105.5049
qmix,42,69,-288.2761
qmix,42,70,-134.6361
qmix,42,71,-108.1809
qmix,42,72,-145.5409
qmix,42,73,-248.8751
qmix,42,74,-236.6415
qmix,42,75,-229.5357
qmix,42,76,-176.7733
qmix,42,77,-177.6626
qmix,42,78,-207.6528
qmix,42,79,-128.4426
qmix,42,80,-249.807
qmix,42,81,-514.2377
qmix,42,82,-176.6056
qmix,42,83,-217.4247
qmix,42,84,-243.0205
qmix,42,85,-453.9339
qmix,42,86,-235.8574
qmix,42,87,-204.017
qmix,42,88,-194.6476
qmix,42,89,-745.0969
qmix,42,90,-157.4914
qmix,42,91,-165.7718
qmix,42,92,-184.9243
qmix,42,93,-159.1897
qmix,42,94,-415.5781
qmix,42,95,-278.9542
qmix,42,96,-455.3752
qmix,42,97,-216.5556
qmix,42,98,-189.5621
qmix,42,99,-188.7495
qmix,42,100,-523.8221
qmix,42,101,-352.0951
qmix,42,102,-190.202
qmix,42,103,-195.3978
qmix,42,104,-265.492
qmix,42,105,-197.9957
qmix,42,106,-214.0802
qmix,42,107,-584.0139
qmix,42,108,-242.5086
qmix,42,109,-207.4577
qmix,42,110,-215.547
qmix,42,111,-214.3292
qmix,42,112,-439.6451
qmix,42,113,-194.0776
qmix,42,114,-165.0244
qmix,42,115,-228.5462
qmix,42,116,-221.728
qmix,42,117,-251.0953
qmix,42,118,-225.7529
qmix,42,119,-206.9543
qmix,42,120,-210.7462
qmix,42,121,-247.6768
qmix,42,122,-222.3366
qmix,42,123,-179.3198
qmix,42,124,-236.7294
qmix,42,125,-197.3907
qmix,42,126,-548.2387
qmix,42,127,-217.1094
qmix,42,128,-306.0351
qmix,42,129,-379.0281
qmix,42,130,-315.5773
qmix,42,131,-577.1389
qmix,42,132,-292.7825
qmix,42,133,-857.5417
qmix,42,134,-286.9904
qmix,42,135,-235.6425
qmix,42,136,-232.7149
qmix,42,137,-265.6055
qmix,42,138,-179.8148
qmix,42,139,-231.1339
qmix,42,140,-243.9715
qmix,42,141,-292.458
qmix,42,142,-289.7039
qmix,42,143,-470.851
qmix,42,144,-232.4547
qmix,42,145,-159.4045
qmix,42,146,-289.222
qmix,42,147,-288.5754
qmix,42,148,-758.0637
qmix,42,149,-331.9918
qmix,42,150,-238.8199
qmix,42,151,-186.6829
qmix,42,152,-230.3086
qmix,42,153,-242.2428
qmix,42,154,-282.005
qmix,42,155,-224.0502
qmix,42,156,-418.3226
qmix,42,157,-231.076
qmix,42,158,-209.9475
qmix,42,159,-279.1553
qmix,42,160,-181.8387
qmix,42,161,-232.122
qmix,42,162,-279.7706
qmix,42,163,-231.734
qmix,42,164,-224.6839
qmix,42,165,-267.45
qmix,42,166,-202.1883
qmix,42,167,-296.3635
qmix,42,168,-271.0796
qmix,42,169,-229.6642
qmix,42,170,-219.7464
qmix,42,171,-239.5904
qmix,42,172,-283.9075
qmix,42,173,-235.1749
qmix,42,174,-279.65
qmix,42,175,-291.4506
qmix,42,176,-287.2815
qmix,42,177,-260.3362
qmix,42,178,-234.2334
qmix,42,179,-243.3986
qmix,42,180,-273.4386
qmix,42,181,-283.6612
qmix,42,182,-334.6722
qmix,42,183,-200.1403
qmix,42,184,-250.3818
qmix,42,185,-183.1619
qmix,42,186,-305.7691
qmix,42,187,-225.3037
qmix,42,188,-322.6038
qmix,42,189,-254.2862
qmix,42,190,-278.031
qmix,42,191,-282.1765
qmix,42,192,-268.1422
qmix,42,193,-251.5721
qmix,42,194,-236.5857
